prompts,input_tokens,output_tokens,total_time,load_time,prompt_eval_time,output_eval_time,prompt_complexity,prompt_length,output_length,device
1,87,19,1585.497458,66.00975,599.077292,919.192,easy,long,short,M3_1
1,87,357,19200.623417,45.624875,506.16525,18648.443458,easy,long,long,M3_1
8,506,116,8964.031708,43.178,2812.561791,6105.324625,easy,long,short,M3_1
8,506,1953,123628.310209,42.962542,2916.173875,120667.374875,easy,long,long,M3_1
32,1928,745,71587.577958,44.06875,13683.344708,57846.180417,easy,long,short,M3_1
32,1928,3821,312607.626,52.621083,12598.991041,299941.281834,easy,long,long,M3_1
128,4060,107,39241.215209,60.175167,27828.41075,11293.105458,easy,long,short,M3_1
128,4060,119,52533.48175,43.910916,37560.269916,14879.765167,easy,long,long,M3_1
1,33,2,586.757917,49.19125,467.674625,69.451209,easy,short,short,M3_1
1,33,284,21839.128,43.985875,339.407625,21455.350834,easy,short,long,M3_1
8,102,162,11186.2815,43.61625,948.036667,10193.951625,easy,short,short,M3_1
8,102,984,57994.794,43.033,796.399208,57154.733083,easy,short,long,M3_1
32,344,397,25163.771583,46.477958,2176.661875,22938.12675,easy,short,short,M3_1
32,344,2187,152456.813,42.948875,2441.739417,149969.620333,easy,short,long,M3_1
128,1284,1266,103652.765209,47.959209,8177.867417,95401.188292,easy,short,short,M3_1
128,1284,2858,226077.5285,45.858209,7885.585458,218121.423375,easy,short,long,M3_1
1,37,74,4919.746916,53.645083,252.78225,4612.342041,hard,short,short,M3_1
1,37,660,41277.622833,42.117458,297.581625,40937.439208,hard,short,long,M3_1
8,116,459,29000.049708,44.9535,1038.423959,27915.460458,hard,short,short,M3_1
8,116,2079,134857.0855,44.070125,1029.025875,133783.213208,hard,short,long,M3_1
32,415,1298,89674.909666,45.409833,2745.666125,86879.727875,hard,short,short,M3_1
32,415,6083,450116.526958,44.404292,2827.793375,447241.075917,hard,short,long,M3_1
128,1561,3862,275514.367709,51.483167,8530.050583,266893.132875,hard,short,short,M3_1
128,1561,16533,1393931.488458,50.533458,9997.65625,1383839.722208,hard,short,long,M3_1
1,102,110,8107.869333,64.198583,790.85675,7248.953375,hard,long,short,M3_1
1,102,771,51257.314334,42.866709,936.479,50276.535292,hard,long,long,M3_1
8,533,346,27695.942625,44.604125,3758.581542,23888.961,hard,long,short,M3_1
8,533,1996,149639.290375,41.778041,3757.236041,145838.674042,hard,long,long,M3_1
32,1893,861,91783.375542,45.486667,12638.699375,79085.444209,hard,long,short,M3_1
32,1893,2344,209097.859959,54.439834,13008.33225,196019.833875,hard,long,long,M3_1
128,4072,158,50428.196125,46.816125,30650.587083,19668.865542,hard,long,short,M3_1
128,4072,534,94745.150875,46.453458,40095.445416,54543.708125,hard,long,long,M3_1
