prompts,input_tokens,output_tokens,total_time,load_time,prompt_eval_time,output_eval_time,prompt_complexity,prompt_length,output_length,device
1,87,29,807.8312,119.3712,11.8997,675.5915,easy,long,short,RTX3060
1,87,365,10469.7365,98.3385,17.6933,10353.7047,easy,long,long,RTX3060
8,506,153,4721.1715,116.0065,67.2753,4533.8864,easy,long,short,RTX3060
8,506,1804,53019.0761,103.4117,61.7892,52847.6892,easy,long,long,RTX3060
32,1928,540,17782.7064,154.4478,1066.7376,16515.5723,easy,long,short,RTX3060
32,1928,3626,116113.4473,273.3279,1112.7838,114688.6967,easy,long,long,RTX3060
128,7646,2330,90178.5463,109.9424,7276.5247,82287.9536,easy,long,short,RTX3060
128,7646,803,38682.6491,107.1543,8050.41,29986.9709,easy,long,long,RTX3060
1,33,2,217.2945,119.5124,38.5318,50.7701,easy,short,short,RTX3060
1,33,229,6394.3074,93.5802,13.0268,6282.8073,easy,short,long,RTX3060
8,102,141,4109.0568,105.1326,11.8676,3987.4992,easy,short,short,RTX3060
8,102,1305,38294.8879,93.4718,16.9247,38175.4718,easy,short,long,RTX3060
32,344,526,15000.8189,116.7526,12.9439,14858.638,easy,short,short,RTX3060
32,344,1827,53759.4854,98.1246,12.5099,53637.434,easy,short,long,RTX3060
128,1284,1030,31884.5847,95.9243,792.2132,30934.5019,easy,short,short,RTX3060
128,1284,4769,152826.3911,100.406,795.2011,151839.6383,easy,short,long,RTX3060
1,102,182,5185.6933,104.4647,19.2614,5059.6184,hard,long,short,RTX3060
1,102,911,26259.115,93.4417,12.1424,26145.1497,hard,long,long,RTX3060
8,535,328,9763.9983,98.6867,353.0919,9300.5816,hard,long,short,RTX3060
8,535,2171,65175.8394,95.1913,358.5321,64712.6339,hard,long,long,RTX3060
32,1895,1556,49384.0388,98.0343,1198.3595,48047.2232,hard,long,short,RTX3060
