prompts,input_tokens,output_tokens,total_time,load_time,prompt_eval_time,output_eval_time,prompt_complexity,prompt_length,output_length,device
1,88,31,7776.2787,181.9787,3688.0465,3786.9895,easy,long,short,Ultra9-185H
1,91,264,35669.4699,236.5492,4613.6116,29271.2039,easy,long,long,Ultra9-185H
1,87,60,10920.4088,206.4026,4085.1426,6200.6594,easy,long,short,Ultra9-185H
1,90,557,73072.5969,194.5226,4137.5578,67155.4531,easy,long,long,Ultra9-185H
1,76,64,11951.2033,218.6671,3982.4422,7696.3268,easy,long,short,Ultra9-185H
1,79,533,70963.5196,199.4927,4101.85,66187.7768,easy,long,long,Ultra9-185H
1,89,40,9583.2276,231.2288,4578.2399,4736.8319,easy,long,short,Ultra9-185H
1,92,334,46439.2702,233.743,4692.2067,41225.4379,easy,long,long,Ultra9-185H
1,77,51,12392.4014,198.9212,5985.207,6163.1179,easy,long,short,Ultra9-185H
1,80,324,44498.6735,239.1493,4146.8927,39831.5118,easy,long,long,Ultra9-185H
1,84,42,9691.7849,220.1465,4460.6515,4977.5133,easy,long,short,Ultra9-185H
1,87,264,37258.1452,215.3073,4504.0726,32290.6659,easy,long,long,Ultra9-185H
1,80,53,10781.4332,198.0345,4178.9055,6350.0495,easy,long,short,Ultra9-185H
1,83,403,54752.3873,226.856,4338.8536,49825.0566,easy,long,long,Ultra9-185H
1,87,11,6184.8049,202.3485,4713.4474,1256.4383,easy,long,short,Ultra9-185H
1,90,166,27089.7793,224.3961,5154.3311,21552.2939,easy,long,long,Ultra9-185H
1,86,25,7983.8204,202.4773,4695.6844,3055.2135,easy,long,short,Ultra9-185H
1,89,350,50718.1705,244.5915,5029.0653,45069.9779,easy,long,long,Ultra9-185H
1,82,12,8071.6076,215.3833,6468.0085,1377.2358,easy,long,short,Ultra9-185H
1,85,235,34932.9223,210.7375,4592.6863,29932.7567,easy,long,long,Ultra9-185H
1,89,14,6937.4699,234.5381,5039.4132,1646.7099,easy,long,short,Ultra9-185H
1,92,16,9444.6193,230.0403,7284.6938,1914.6695,easy,long,long,Ultra9-185H
1,78,64,12783.6035,225.3824,4574.3434,7928.2966,easy,long,short,Ultra9-185H
1,81,342,48449.8885,215.3341,4327.7295,43606.2736,easy,long,long,Ultra9-185H
1,75,28,7694.8596,244.4053,4027.2704,3397.594,easy,long,short,Ultra9-185H
1,78,390,54672.5748,254.7417,4256.2177,49826.8146,easy,long,long,Ultra9-185H
1,88,29,8552.2035,238.9176,4757.3158,3527.6374,easy,long,short,Ultra9-185H
1,91,334,50175.6461,217.1599,7138.1358,42523.8251,easy,long,long,Ultra9-185H
1,81,48,10560.7067,204.1786,4435.8171,5880.0598,easy,long,short,Ultra9-185H
1,84,378,56207.4941,232.2678,7234.0018,48411.5928,easy,long,long,Ultra9-185H
1,81,45,10388.6425,238.8692,4550.0408,5553.0018,easy,long,short,Ultra9-185H
1,84,500,70304.5747,211.5091,4670.436,64965.7113,easy,long,long,Ultra9-185H
1,78,52,11210.7534,214.7111,4479.3405,6467.5801,easy,long,short,Ultra9-185H
1,81,450,65407.2542,257.2115,6309.1049,58425.6613,easy,long,long,Ultra9-185H
1,79,63,12537.21,204.9804,4392.6516,7876.0244,easy,long,short,Ultra9-185H
1,82,622,86950.0756,240.0001,4650.2671,81498.5145,easy,long,long,Ultra9-185H
1,80,48,10767.7592,233.4356,4495.333,5987.6137,easy,long,short,Ultra9-185H
1,83,507,75224.3567,200.4007,6701.9491,67797.7807,easy,long,long,Ultra9-185H
1,86,52,11417.3952,162.858,4732.8592,6470.9481,easy,long,short,Ultra9-185H
1,89,207,32250.1608,171.68,5044.3408,26802.2981,easy,long,long,Ultra9-185H
1,81,10,6028.9004,171.2185,4711.9346,1132.2897,easy,long,short,Ultra9-185H
1,84,96,17101.6975,163.9277,4740.2768,12086.6696,easy,long,long,Ultra9-185H
1,81,10,5843.7055,144.3911,4555.0989,1131.5584,easy,long,short,Ultra9-185H
1,84,16,6793.015,168.0791,4674.3807,1929.581,easy,long,long,Ultra9-185H
1,91,32,11287.3298,159.5049,7186.4655,3904.11,easy,long,short,Ultra9-185H
1,94,14,7125.6188,167.4,5299.6252,1638.8407,easy,long,long,Ultra9-185H
1,84,38,9564.4477,151.6329,4695.8086,4677.2462,easy,long,short,Ultra9-185H
1,87,85,15801.6914,165.7003,4935.9544,10604.298,easy,long,long,Ultra9-185H
1,79,57,11866.7349,155.7791,4552.0887,7097.5177,easy,long,short,Ultra9-185H
1,82,442,62802.6517,160.4754,4608.7942,57545.9191,easy,long,long,Ultra9-185H
1,82,56,11915.2344,168.4362,4763.5374,6914.8075,easy,long,short,Ultra9-185H
